Date,Close,High,Low,Open,Volume
,JPM,JPM,JPM,JPM,JPM
2020-03-17,80.7474136352539,83.91668091393996,75.35621301308105,78.27572748303032,35239800
2020-03-18,72.24720764160156,78.18958273511066,69.20712471588955,75.50259396511797,41525600
2020-03-19,73.46154022216797,75.88154891254955,66.23595692116102,70.2405958594756,32175100
2020-03-20,71.9113540649414,77.04418765045327,71.03291885841925,74.32275539234108,30150800
2020-03-23,68.06171417236328,72.12664367937042,67.25217123327019,71.20514533040777,32536600
2020-03-24,76.15713500976562,77.59536044886455,71.39462384629906,73.117051410405,34363200
2020-03-25,78.99915313720703,81.94450306841966,72.80702315640494,76.8547258171563,38111700
2020-03-26,84.50228881835938,84.88983234692971,80.55792857903111,81.02298475563889,29826300
2020-03-27,78.48241424560547,81.67751677796596,77.98291521601415,80.25651920977224,30041500
2020-03-30,80.52349090576172,81.03160389772502,76.90639554676699,78.0690328714053,21656900
2020-03-31,77.53507232666016,81.10049670143573,76.94083274068441,79.27472776916848,23379300
2020-04-01,72.65199279785156,74.54666042803855,71.69604500546882,73.2892891359269,28029600
2020-04-02,75.36482238769531,75.70930922596257,71.44629692216765,71.91996714610262,24018000
2020-04-03,73.13720703125,76.12186655925039,72.02339275028987,74.8340223237619,21199400
2020-04-06,77.84477233886719,79.17612051539297,76.31328377400132,77.43579471312323,26820800
2020-04-07,78.87158203125,82.2304120933648,78.64533776873797,82.18690128329104,22563800
2020-04-08,82.05638885498047,82.5436781014144,78.79327699657168,80.14202591475646,22903300
2020-04-09,89.41796112060547,90.83632456944616,84.31010138471451,84.33620521524264,42055900
2020-04-13,85.44129180908203,89.72249140986479,84.66684740873451,89.72249140986479,26911900
2020-04-14,83.1005630493164,88.75662231445312,81.48205940541811,87.903859688784,46151300
2020-04-15,79.00209045410156,80.08109059077476,78.42777975371379,79.3153496290738,30118600
2020-04-16,75.9913330078125,78.81065914371048,75.74768844084578,78.5148069234842,32449600
2020-04-17,82.82211303710938,83.27459486746109,79.15002418443885,80.05499448395899,30191900
2020-04-20,79.80265045166016,82.4131395340389,78.71494666733568,80.4639762113982,23679400
2020-04-21,77.48799896240234,79.51547321387102,76.86148069254507,77.11382869783843,23035000
2020-04-22,77.74037170410156,79.9418900238646,77.6011490539529,78.9150972535988,16662400
2020-04-23,77.78385925292969,79.42846656377347,77.67074046858946,78.08841493293485,16638800
2020-04-24,78.9324951171875,79.27185819986667,77.00073194574134,78.87158396488144,15809200
2020-04-27,82.33482360839844,83.21368343879294,79.65472003502803,80.00278655500622,22870200
2020-04-28,82.91783905029297,85.58923938751768,82.69159479509769,85.11064704745408,20238900
2020-04-29,85.15415954589844,86.53771565656344,84.64075987647723,86.21575956578394,20462600
2020-04-30,83.32682800292969,84.2665991921353,82.27393135144342,83.1875987074514,19127600
2020-05-01,81.1427001953125,81.56907820878375,79.915767171947,81.36024094650637,18547700
2020-05-04,80.17681121826172,80.63799650538002,79.01079608772234,80.07238927749643,15725900
2020-05-05,80.05500793457031,81.9780676546013,79.96799294936152,81.4907784263778,18064100
2020-05-06,78.54962921142578,80.71634036126466,78.25377690980056,80.19424376857299,20978000
2020-05-07,79.3675765991211,80.84685787188461,78.81937622887902,79.48069541363583,16771900
2020-05-08,80.66410827636719,81.86493747759418,80.15071528770461,80.75112988831812,20487800
2020-05-11,78.28858184814453,79.28056733566712,77.73167794773951,79.28056733566712,31907600
2020-05-12,75.73028564453125,79.00210041868608,75.61716684328533,78.4451966237853,27962900
2020-05-13,73.11981201171875,75.58237544008479,72.57161159035721,75.16469418655815,35451600
2020-05-14,76.15666198730469,76.6700616037484,71.70143172596772,71.97988361730128,35152500
2020-05-15,74.74701690673828,75.94783967973217,74.22492033755911,75.57366925470379,26099000
2020-05-18,78.70626068115234,79.31537891912201,76.4699414688138,77.17477819219557,30504400
2020-05-19,77.1573486328125,79.35885987546375,77.08773400218863,78.35817777521615,19597300
2020-05-20,79.47201538085938,80.39438634977785,78.63665941373752,78.93251174760982,20552400
2020-05-21,78.46261596679688,79.84617893900668,78.02753435672638,78.54963096104727,14621400
2020-05-22,77.85350036621094,78.62794506122106,77.20087798465286,78.32338927759092,13557900
2020-05-26,83.37901306152344,84.8408870735746,80.58579080683602,80.82943536904182,41233900
2020-05-27,88.20841979980469,89.26131616271954,85.97210130494238,88.81753120353513,39402000
2020-05-28,86.89448547363281,89.58328619719883,86.49421125453323,89.57458934637003,24713900
2020-05-29,84.67557525634766,86.30278276092537,84.21438984222715,85.85030083730283,26526400
2020-06-01,85.79805755615234,86.5899089535787,84.73645779375543,85.05842044526106,15176800
2020-06-02,86.08524322509766,87.38178449783396,85.21508004952356,87.25996218435904,21195000
2020-06-03,90.73189544677734,91.29750273923919,87.93867294084768,88.39116143034396,25941100
2020-06-04,92.62015533447266,92.76808145673067,89.44405893702972,90.34032579859156,26784700
2020-06-05,96.7882308959961,100.73876497118098,95.30894985114574,100.00783125680668,42231000
2020-06-08,98.72000122070312,99.36392669583391,97.40605971723966,98.68520053879872,24881800
2020-06-09,96.18782043457031,97.1362949338919,94.85647208438728,96.28353889728568,17031100
2020-06-10,92.28948211669922,96.16171130150705,92.10674869036423,96.11820049764876,24913300
2020-06-11,84.58853912353516,88.39115358481082,84.00553154344784,87.0423983639484,36259200
2020-06-12,86.9031982421875,87.99959905724984,84.69298299209365,87.63413211889572,24856800
2020-06-15,88.10401153564453,88.26064115503837,83.42253657192234,83.90112228092427,22153600
2020-06-16,88.808837890625,91.95883049081344,86.41588952651195,91.68908207237128,22193600
2020-06-17,86.56382751464844,89.22652445794213,86.32887976152396,89.21782096813298,15639800
2020-06-18,86.09393310546875,87.46878566002893,85.38909653028223,85.85898536746754,16591900
2020-06-19,85.11063385009766,87.53838921550019,84.17086293350334,87.47747807610226,40371200
2020-06-22,84.18827819824219,85.23247124129806,84.00554474764829,84.62335973931837,16216900
