Date,Close,High,Low,Open,Volume
,MA,MA,MA,MA,MA
2020-01-02,294.1231994628906,294.25890788589226,290.3520023268156,291.2826715795654,3272400
2020-01-03,291.25360107421875,293.182838248765,289.47950996453045,290.3132277577601,2501300
2020-01-06,292.0291748046875,292.1260967141823,286.97828889724667,288.2773560901674,3307200
2020-01-07,291.0403137207031,294.1135015850874,290.7204063283798,292.5235798923605,3182000
2020-01-08,296.1756286621094,297.97152086065483,291.71989275999243,291.981984416028,3224400
2020-01-09,300.05853271484375,301.8447073846794,299.01010716684505,299.26251139597616,3292600
2020-01-10,302.0680236816406,302.82520682773134,299.7090807506275,302.4660047601094,2948000
2020-01-13,305.9898681640625,306.40731286382,303.7474397272274,304.0969248683131,3236400
2020-01-14,301.55352783203125,307.1644566904219,300.7963150610004,306.9314567512921,4951400
2020-01-15,305.05792236328125,306.4946417795552,301.94182586657473,303.0581814713225,4664200
2020-01-16,310.93096923828125,310.96009053043935,305.77629315189427,308.21288322047644,3323300
2020-01-17,314.1927490234375,314.5519215553508,309.9020237133366,312.0279672332279,4821000
2020-01-21,312.51324462890625,316.1341493670766,312.0861126631469,312.9792148528922,5998600
2020-01-22,314.82373046875,317.23119960691076,314.6392857157298,315.44502429469605,3518500
2020-01-23,315.47412109375,315.73621274220125,312.89192437690207,315.493525414959,4188300
2020-01-24,314.2023620605469,317.52230726399006,312.2511469651604,317.01752841651205,3634700
2020-01-27,306.5334167480469,310.0184022813584,303.35907802060683,305.88303147472027,4367500
2020-01-28,310.9018249511719,312.11526140953566,306.232523829381,306.56257499106636,3486200
2020-01-29,310.950439453125,314.94992204222683,307.50426147956534,313.5520406057556,4389400
2020-01-30,314.96929931640625,315.20229928575543,308.7079843104482,309.6690166061491,3512100
2020-01-31,306.69842529296875,314.96919567283277,305.30054443652597,313.68782957518266,5586800
2020-02-03,315.0274658203125,315.95940622280335,309.1156077587746,309.4747801613367,4240100
2020-02-04,319.4930114746094,322.0363699531514,316.7458039338341,318.63874733297916,4158200
2020-02-05,318.7164001464844,325.2009980117843,314.68779669311266,325.2009980117843,3868000
2020-02-06,319.667724609375,321.54129322624476,318.0951155228687,319.687158554834,3422000
2020-02-07,317.43499755859375,320.20163878339946,316.3380461909583,318.4057467866017,2584200
2020-02-10,320.61907958984375,320.61907958984375,315.9886160653507,316.0953842690466,3848100
2020-02-11,321.2403564453125,325.7057793176254,320.01720290424583,325.20100037008046,3449300
2020-02-12,324.3855895996094,324.66711519154865,319.59008568825726,321.1432904930331,2451000
2020-02-13,326.0163269042969,327.9481078531438,322.4148565606217,322.58958426330076,3001000
2020-02-14,330.97698974609375,331.0643536291756,327.1716394084379,327.5890545025794,2716300
2020-02-18,331.2584228515625,333.0640316340127,330.4333097929594,331.6273122600691,3597300
2020-02-19,334.4812927246094,337.0828930875051,332.6077541544956,333.9279586521166,3040300
2020-02-20,334.37457275390625,337.09265865551845,328.2782689817922,335.62681788808766,4316000
2020-02-21,329.76348876953125,333.8309299628771,325.7930987885075,332.5301000687795,4997100
2020-02-24,315.1731262207031,319.70650796930374,304.65989678139294,308.2225590460078,7816000
2020-02-25,294.0302429199219,313.77527832877126,291.96254235923845,311.9405480988978,12715700
2020-02-26,289.3221130371094,298.88399901748784,289.17650657546216,293.16627174917505,9403300
2020-02-27,277.45953369140625,288.7493512301538,272.72227302210314,276.692633555414,13814600
2020-02-28,281.7599792480469,281.89589836755823,265.5484543801907,266.8492844886789,12846000
2020-03-02,297.7676086425781,297.98117465768155,280.9736588523274,290.14725090460854,9688100
2020-03-03,283.4587707519531,305.38799196164354,282.3229811355529,305.38799196164354,8051100
2020-03-04,293.51568603515625,293.9428180126113,284.1868013284978,290.3607514345837,6463800
2020-03-05,282.2259216308594,289.97248117849114,279.8087360117491,287.06023361925173,6621300
2020-03-06,278.61480712890625,280.40098254912215,270.470205081779,274.4211624249618,7061500
2020-03-09,254.34600830078125,271.0719981179151,253.54026987188675,257.2485389394079,8498300
2020-03-10,272.3631286621094,272.6543415919326,255.1711378319085,268.33452513333305,8131400
2020-03-11,261.8693542480469,266.02416028282823,255.60800908789955,264.9660470458657,8366800
2020-03-12,234.43592834472656,254.81194427243855,233.88259419890247,237.3772971923781,15031500
2020-03-13,262.11199951171875,262.13140383064143,238.31892727229985,251.21047539148307,9934900
2020-03-16,228.75706481933594,250.19122578456899,222.55397743366242,227.6310068976685,12111500
2020-03-17,230.92181396484375,243.17266357334304,225.1749807389286,233.44575288292145,12665200
2020-03-18,221.2628631591797,222.39865278438904,206.98315039216618,215.8363785607689,11352800
2020-03-19,220.5056610107422,231.52366966396806,205.36198332900048,217.4575093066163,9126400
2020-03-20,205.2357940673828,229.11623031014074,203.85733198100613,229.11623031014074,10518600
2020-03-23,197.35333251953125,209.3711985902771,194.14015475753348,197.33391338635107,11588700
2020-03-24,230.135498046875,231.46541958429052,208.71105813233507,209.60414553382526,11654800
2020-03-25,248.97775268554688,258.5104868247072,233.32926631328027,240.64870838763954,12642700
2020-03-26,255.4817352294922,258.03481004453226,245.23062733614887,250.35618128282053,9957900
